reference_type,source_file,tool_name,tool_slug,issue,recommended_action
proof source,data/tool-evidence-sources.json,Notion AI on mobile: how to use it (and how to make it actually usable),notis,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Social Media Scheduling (via Zernio) - Quickstart - Notis Help Center,notis,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to automate anything in Notion - Notis .ai,notis,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,HomeRestyle AI — Design Your Home Instantly,homerestyle-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Home Design Use Cases for Every Space - HomeRestyle AI,homerestyle-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Change Color & Material Tool – AI Home Redesign - HomeRestyle AI,homerestyle-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Living Room Design: Redesign Your Space in Minutes,homerestyle-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,About HomeRestyle AI,homerestyle-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Auto Edit – AI Photo Magic Editor - HomeRestyle AI,homerestyle-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Interior Sketch to Render - HomeRestyle AI,homerestyle-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI House Exterior Design: Visualize Any Style - HomeRestyle AI,homerestyle-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Bedroom Design: Visualize Your Dream Bedroom Instantly,homerestyle-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Blog - Sitka Maritime Heritage Society,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,YouTube Analytics Advanced Mode: Complete Guide (2026) - Improvado,beyondcomments,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Craft a Silky AI Video in 5 Minutes with +AnimateDiff with ComfyUI Advanced,silky-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,The Marketer's Guide to AI Product Photo Editing - Klaviyo,ai-photo-editor,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"10 Best AI Photo Editors in 2026: Free, Paid, Online and App",ai-photo-editor,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Creen AI - Creative Studio - Toolfolio,creen-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Brik AI - Design Platform - Toolfolio,creen-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,10 Best Sub Plan Templates for Stress-Free Absences - Kuraplan,teachquill,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,The Unofficial OpenBudget User Guide - Devon Dundee,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,imagineGo to the moon or imagineGo away? - The Wheat Field,imaginego,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Embed a Google Form in an Email or a Website | MakeForms,makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Build Forms Online - No Coding Required - MakeForms,makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Ultimate Guide to HIPAA Compliant Medical Forms - MakeForms,makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Money | THRIVE Financial Planning,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Articles - Thrive Financial Services and Insurance Solutions, LLC",thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Supramolecular Synthon Promiscuity in Phosphoric Acid ... - PMC,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"After 10 years with Fresha, now we open a new chapter with AI ...",elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,#teneksai #salesenablement #conversion #salescycle | TENEKS,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Steam Community:: Vtuber Assistant,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Quantum circuit generation and general compute graph design,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,General Compute Launches ASIC-First Inference Cloud for ...,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Photo Editor Guide - PhotoGPT,ai-photo-editor,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Full-text editions - Open budget,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Highlights OpenBudgets.eu,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,1Sewn - AI Tool For Custom clothing - There's An AI For That,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,WearMind - AI Tool For Virtual try-ons,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Tools For Career,ndorflow,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Jobs - There's An AI For That®,ndorflow,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Tools For Work,ndorflow,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,WebZum 2.6.0 - AI Tool For Websites,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Elevanlab - Top Rated AI Tools,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Elevoi | Canadian businesses - AI Tool For Virtual receptionist,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Thumbs AI - AI Tool For YouTube thumbnails,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Teneks : AI sales intelligence providing real-time coaching and ...,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Teneks - AI Tool For Sales training,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Vtuber Assistant - AI Tool For Interactive streaming,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Ads Pro - AI Tool For Facebook ads,fastiads,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,FastiAds : AI ads automated campaign generator with budget protection ...,fastiads,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Tools For Ad optimization,fastiads,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Relationship analysis - There's An AI For That®,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,UFate - AI Tool For I-ching readings,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Youtube comments analysis - There's An AI For That®,beyondcomments,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Youtube video analysis - There's An AI For That®,beyondcomments,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Image to stl file - There's An AI For That®,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Object Multi-View Generator - AI Tool For 3D images,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Hunyuan 3D - AI Tool For 3D objects,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,3d-human-modeling - There's An AI For That®,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,RightHair - AI Tool For Hairstyles,silky-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,BarberGPT - AI Tool For Hairstyles,silky-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Silky AI - AI Tool For Hairstyles,silky-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Creen AI - AI Tool For Image generation,creen-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Creen AI - There's An AI For That,creen-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,TeachQuill - AI Tool For Teaching,teachquill,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Aiter.io | Paste a URL. Ship a Campaign That Sounds L... v3.1,aiter-io,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Wearmind : AI Style Consultant - Apps on Google Play,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Styling offline is big business, but Tech bros are getting it all wrong ...",wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Wearmind : AI Style Consultant - Apps on Google Play,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,DAY 2/365: GRWM BEING PUT-TOGETHER EVERYDAY. Today,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Southern Gothic Makeup #makeup #southerngothic - Instagram,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,WearMind - toolhunt,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Wearmind : AI Style Consultant - Apps on Google Play,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Design, Try-On & Fashion Video | WearMind | Creati.ai",wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Wearmind : AI Style Consultant APK for Android Download - APKPure,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Thrive Financial | Sandals Church Learning Hub,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Buying Tutorial - Thrive Financial Group,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Navigating Financial Tides and Social Security Strategies,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Thrive Financial , Inc. - Revolutionizing Home Improvement Financing",thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Home • Thrive Financial Services,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Thrive Financial Advisors,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Retirement Income Planning - Thrive Financial Services,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Thrive : Financial Intelligence - Budget, Invest, Grow, Live",thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Thrive : Financial Intelligence - App Store - Apple,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Design and evaluation of orifice meters fluid flow in pipelines,ndorflow,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"AI Tools & Trends on Instagram: ""Your next website could take less time ...",webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Instant MCP hosting for AI-generated web content. Publish HTML/CSS/JS ...,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,WebZum | Remote MCP,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,WebZum Review 2026: Honest Take After Testing - Automateed,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Generate spritesheets and animations for your game with Gamelab Studio,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,SCAM ALERT for salon owners + beauty professionals @Vagaro ...,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Handling client complaints isn't always easy, but getting it right can make ...",elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Stylish Half Up Half Down Two Ponytails with Molding Spray - TikTok,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,I see this from both sides running a salon and working in HR A lot of ...,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to make Youtube Thumbnails with AI Format: @cooper.simson,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Pick a thumbnail with proven views so you know the layout ... - Instagram,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Create Viral AI Thumbnails Step-by-Step! TOOL ... - Instagram,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Meet Christian Mouysset, Co-Founder & CEO of Tenzo (Techstars 2016 ...",teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,What's the best sales training software that made your reps actually ...,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Read Customer Service Reviews of teneks .ai - Trustpilot,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,VTuber AI Assistant with PyQt6 and · Built with Blink,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"AI Chat with Vtuber Assistant - Virtual YouTuber Expert - Shapes, Inc",vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Abhi tak kisi ne nahi dikhaya! 5 AI tools jo aapko future ready bana ...,fastiads,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,TOOLHUNT (Page 2),fastiads,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Reels-video deur fastiads - AI Meta Ads (@fastiadcopy) · 09 Maart ...,fastiads,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Discover the Latest Artificial Intelligence Open Source Projects,fastiads,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Software - Sitemap - F6S,fastiads,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Buy Unifate ( uFATE ) in Anguilla with Credit Card Online,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Buy Unifate ( uFATE ) in Sint Maarten with Credit Card Online,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Buy Unifate ( uFATE ) in Guam with Credit Card Online - Bitget,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Buy Unifate ( uFATE ) in Northern Mariana Islands with Credit ...,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Buy Unifate ( uFATE ) in Puerto Rico with Credit Card Online - Bitget,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Sell Unifate ( uFATE ) | Sell Unifate | Bitget,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Buy Unifate ( uFATE ) in Latvia with Credit Card Online - Bitget,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Sell Unifate ( uFATE ) | Sell Unifate | Bitget,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Ufate 1000mg Oral Suspension | Uses, Side Effects, Price | Apollo Pharmacy",ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,What is Unifate ( uFATE )| How To Get & Use Unifate - Bitget,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Compute for Mobile Devices: Performance-focused Hands-On Tutorial,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,A case for learning GPU programming with a compute -first mindset,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Cost-Performance Evaluation of General Compute Instances - arXiv,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,The Definitive Guide to Local-First AI - SitePoint,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Free AI YouTube Comment Analyzer & Viewer Insights - Microposter,beyondcomments,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,WE'RE BACK! Season 2 premiere of #MindYourBusiness is ... - Instagram,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Day 2: Learning how to ride a bike with @bikemetro. Avery is so close ...,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Activating a new Pixel 9 on Mint - Phone was purchased Unlocked ...,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Turning toothpaste into a fashion statement? A breakdown on how ...,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Vismint - AI Image to 3D Model Generator - toolhunt,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Image to 3D Model Generator for Game Engines - HuntScreens,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Vismint - AI Image to 3D Model Generator - LambdaBase,vismint,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Coursebox User Manual_v3 (0) - Freshdesk,coursebox,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Soul Female (English, Silky ) - Free AI Voice Generator on Kits. AI",silky-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Unlock the secret to silky AI video transitions! It all starts with the ...,silky-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Ivan Stadnik - Cloud Engineer | AWS SAA | AWS Developer Associate,silky-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Larger Than Life Product on Social Media: Macro + AI - Tejom Digital,silky-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,PrettyUp-Portrait Editor Video - App Store - Apple,silky-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Silky AI | AI Application - GptZone,silky-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Make complex edits simple with our AI photo editor - Canva,ai-photo-editor,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Photo Editor : A Professional's Guide to Workflow Automation,ai-photo-editor,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Greem - Apps on Google Play,creen-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Make Out-of-Screen AI Videos (Kling AI Tutorial ... - Instagram,creen-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Creen AI - toolhunt,creen-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Creen AI - AiDOOS,creen-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,TeachQuill - SideProjectors,teachquill,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,[PDF] Guide to the Open Budget Questionnaire,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Guide to Budget Terms | OpenBudget .NY.Gov,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Open Budget Home ( OpenBudget .ny.gov),openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Support • imagineGo | imagine,imaginego,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,imagineGo - Apps on Google Play,imaginego,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Our imagineGo is now available on Google Play and Web Portal ...,imaginego,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Makeform Reviews & Info: AI-powered form builder ... - AgentLocker,makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Makeform AI - AI Agent Store,makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"15 AI startup mistakes I did with my first product, Aiter.io ... - Reddit",aiter-io,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"We built Aiter.io , it made $10k in 2024. Will we make $100k in 2025 ...",aiter-io,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Notis Second Brain System | Notion,notis,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/x-proof-sources-v2-all.json,AI Inspo,ai-inspo,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/x-proof-sources-v2-all.json,AirMusic,airmusic,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/x-proof-sources-v2-all.json,Aiter.io,aiter-io,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/x-proof-sources-v2-all.json,AppDeploy,appdeploy,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/x-proof-sources-v2-all.json,Asteroid AI,asteroid-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
